search_term,sp500no,Company Name,link
Micron Technology,320,"Micron Technology, Inc.",https://www.youtube.com/user/MicronTechnology
Maxim Integrated Products,321,"Maxim Integrated Products, Inc.",https://www.youtube.com/c/maximintegrated
Norwegian Cruise Line Holdings,322,Norwegian Cruise Line Holdings Ltd.,https://www.youtube.com/user/NCLFreestyle
Newmont,325,Newmont Corporation,https://www.youtube.com/c/NewmontCorporation
Netflix,326,"Netflix, Inc.",https://www.youtube.com/c/Netflix
Nike,328,"NIKE, Inc. Class B",https://www.youtube.com/user/nike
NortonLifeLock,329,NortonLifeLock Inc.,https://www.youtube.com/channel/UCa3h96az7881wsRH5uoTxuQ
Nielsen Holdings,330,Nielsen Holdings Plc,https://www.youtube.com/user/TheNielsenCompany
Northrop Grumman,331,Northrop Grumman Corporation,https://www.youtube.com/channel/UCiTTe3mBodoZVGVhQDpEFjg
NOV,332,NOV Inc.,https://www.youtube.com/c/nationaloilwellvarco
ServiceNow,333,"ServiceNow, Inc.",https://www.youtube.com/user/servicenowinc
Norfolk Southern,335,Norfolk Southern Corporation,https://www.youtube.com/user/norfolksoutherncorp
NetApp,336,"NetApp, Inc.",https://www.youtube.com/user/NetAppTV
Northern Trust,337,Northern Trust Corporation,https://www.youtube.com/user/NorthernTrustVideos
Nvidia,339,NVIDIA Corporation,https://www.youtube.com/user/nvidia
Newell Brands,341,Newell Brands Inc,https://www.youtube.com/c/newellbrands
NXP Semiconductors,343,NXP Semiconductors NV,https://www.youtube.com/user/NXPAutomotive
Oracle,348,Oracle Corporation,https://www.youtube.com/c/oracle
O'Reilly Automotive,349,"O'Reilly Automotive, Inc.",https://www.youtube.com/user/OReillyAutoParts
Otis Worldwide Corporation,350,Otis Worldwide Corporation,https://www.youtube.com/user/OtisElevatorCompany
Occidental Petroleum,351,Occidental Petroleum Corporation,https://www.youtube.com/user/OxyUTube
Paycom Software,352,"Paycom Software, Inc.",https://www.youtube.com/user/paycompayrollservice
Paychex,353,"Paychex, Inc.",https://www.youtube.com/channel/UCpTyhlEpJ_CuVgAYRffOJew
Public Service Enterprise Group,357,Public Service Enterprise Group Inc,https://www.youtube.com/user/PSEGvideo
PepsiCo,359,"PepsiCo, Inc.",https://www.youtube.com/c/PepsiCo
Pfizer,360,Pfizer Inc.,https://www.youtube.com/c/Pfizer
Principal Financial,361,"Principal Financial Group, Inc.",https://www.youtube.com/user/PrincipalFinancial
Procter & Gamble,362,Procter & Gamble Company,https://www.youtube.com/channel/UCDzq6J0KoGCbps96JQuXWRg
Parker-Hannifin,364,Parker-Hannifin Corporation,https://www.youtube.com/c/ParkerHannifinCorp
PerkinElmer,367,"PerkinElmer, Inc.",https://www.youtube.com/c/perkinelmer
Philip Morris International,369,Philip Morris International Inc.,https://www.youtube.com/channel/UC8Ljkwa0c7Njol3g7LGW2Ww
PNC Financial Services Group,370,"PNC Financial Services Group, Inc.",https://www.youtube.com/user/pnc
PPG Industries,374,"PPG Industries, Inc.",https://www.youtube.com/c/ppgindustries
Prudential Financial,377,"Prudential Financial, Inc.",https://www.youtube.com/user/Prudential
Public Storage,378,Public Storage,https://www.youtube.com/user/PUBLICSTORAGE
PVH,381,PVH Corp.,https://www.youtube.com/channel/UCzTz3j0znFVFO-EM5Sd4Wmw
PayPal Holdings,384,PayPal Holdings Inc,https://www.youtube.com/c/paypal
Qualcomm,385,Qualcomm Inc,https://www.youtube.com/c/qualcomm
Qorvo,386,"Qorvo, Inc.",https://www.youtube.com/c/qorvo
Regeneron Pharmaceuticals,390,"Regeneron Pharmaceuticals, Inc.",https://www.youtube.com/c/Regeneron
Regions Financial,391,Regions Financial Corporation,https://www.youtube.com/c/regionsbank
